Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.08,1.55361,0.103727,-0.199507,1.65381,-0.0839477,0.322793,1.65998,0.274022,0.306165,1.6357,0.331476,0.0586701,1.44986,0.349429,-0.214262,
1.11,1.55402,0.103785,-0.199452,1.65478,-0.0837811,0.322814,1.66075,0.274249,0.306224,1.63627,0.331591,0.0586378,1.4504,0.350204,-0.213798,
1.14,1.55429,0.103875,-0.199439,1.6553,-0.0836488,0.322907,1.66113,0.274321,0.306261,1.63672,0.331707,0.0586511,1.45049,0.350405,-0.213811,
1.17,1.55452,0.10395,-0.199513,1.65593,-0.0836572,0.3227,1.66133,0.274336,0.306166,1.63718,0.331918,0.0585704,1.45016,0.350983,-0.21366,
1.2,1.55474,0.104017,-0.199512,1.65623,-0.0835919,0.32272,1.66182,0.274568,0.306162,1.63738,0.332067,0.0585453,1.45079,0.35101,-0.214325,
1.23,1.55484,0.104095,-0.199538,1.65648,-0.0835733,0.322701,1.66203,0.274204,0.306138,1.63781,0.332159,0.0586142,1.45104,0.351528,-0.213943,
1.26,1.55531,0.104373,-0.199735,1.65686,-0.0834437,0.32241,1.66232,0.274311,0.306017,1.6384,0.332515,0.0585887,1.45111,0.35214,-0.213269,
1.29,1.5556,0.104561,-0.199813,1.65707,-0.0832849,0.322376,1.66281,0.274547,0.305949,1.6387,0.332688,0.0584679,1.45197,0.352037,-0.21399,
1.32,1.55577,0.104647,-0.19988,1.65723,-0.0832135,0.322366,1.66287,0.274615,0.305902,1.63899,0.332828,0.0582426,1.4521,0.351618,-0.21381,
1.35,1.556,0.104831,-0.199962,1.65766,-0.0830623,0.322191,1.66311,0.274752,0.305726,1.6398,0.333234,0.0582191,1.45152,0.352516,-0.21358,
1.38,1.55635,0.105031,-0.200057,1.65829,-0.0831131,0.322012,1.66348,0.274891,0.305553,1.64026,0.33357,0.0582109,1.45178,0.353816,-0.213541,
1.41,1.55662,0.105129,-0.200083,1.65869,-0.0830354,0.321959,1.66394,0.27514,0.305508,1.64095,0.33384,0.0583836,1.4518,0.354556,-0.213241,
1.44,1.55691,0.105202,-0.200156,1.65902,-0.0829548,0.321998,1.66414,0.2752,0.305466,1.64136,0.33418,0.0585892,1.45221,0.354861,-0.212765,
1.47,1.55736,0.105516,-0.200308,1.65945,-0.0828874,0.321921,1.66447,0.275259,0.305339,1.64201,0.334453,0.0586399,1.45269,0.354822,-0.213257,
1.5,1.55776,0.10579,-0.200452,1.65988,-0.0828742,0.321751,1.66495,0.275405,0.305306,1.64236,0.334665,0.0585862,1.45223,0.355159,-0.213444,
1.53,1.55807,0.10587,-0.200508,1.66034,-0.0828807,0.321718,1.66514,0.275447,0.305278,1.64279,0.334818,0.0586669,1.45291,0.355676,-0.213179,
1.56,1.55827,0.105952,-0.200568,1.66048,-0.0827891,0.321672,1.66533,0.275357,0.305316,1.64299,0.334896,0.0586635,1.45206,0.356194,-0.213066,
1.59,1.55891,0.106336,-0.200591,1.66145,-0.0827042,0.321572,1.66588,0.275597,0.305207,1.64347,0.335121,0.0585636,1.45416,0.355913,-0.213462,
1.62,1.55929,0.106569,-0.200681,1.66185,-0.0824938,0.321433,1.66608,0.275611,0.305135,1.64386,0.335199,0.058568,1.45477,0.355929,-0.213482,
1.65,1.55967,0.106693,-0.200686,1.66232,-0.0823635,0.321405,1.66641,0.275754,0.30511,1.64404,0.335249,0.0585574,1.455,0.35587,-0.213665,
1.68,1.56018,0.106941,-0.200683,1.66311,-0.0822766,0.321338,1.66704,0.275963,0.305165,1.64454,0.335381,0.0583458,1.45788,0.355786,-0.214379,
1.71,1.56087,0.107367,-0.200729,1.66322,-0.0822916,0.321262,1.66755,0.276153,0.305161,1.64547,0.335577,0.0578593,1.4595,0.354881,-0.215577,
1.74,1.5612,0.107504,-0.200774,1.6633,-0.0822663,0.321242,1.66756,0.276158,0.30516,1.64588,0.335664,0.0576819,1.4602,0.354593,-0.21604,
1.77,1.56144,0.107638,-0.200793,1.66335,-0.0822472,0.32119,1.6682,0.276447,0.304968,1.64621,0.33578,0.057554,1.46067,0.35474,-0.216059,
1.8,1.56186,0.107853,-0.20084,1.66342,-0.0822103,0.321178,1.6682,0.276453,0.304965,1.64673,0.335947,0.0571735,1.46111,0.354647,-0.216716,
1.83,1.56227,0.108029,-0.200825,1.66353,-0.0821576,0.321158,1.66822,0.276483,0.304959,1.6472,0.33613,0.0566786,1.46113,0.354642,-0.216994,
1.86,1.56283,0.108358,-0.2009,1.66375,-0.0819725,0.321131,1.66894,0.276821,0.304742,1.64835,0.336581,0.0558894,1.46159,0.354785,-0.217355,
1.89,1.56302,0.108476,-0.20095,1.66443,-0.0813641,0.320707,1.66899,0.276921,0.304717,1.64855,0.336739,0.055649,1.46062,0.354346,-0.217197,
1.92,1.56336,0.108635,-0.200969,1.66531,-0.0802644,0.320687,1.669,0.276989,0.3047,1.64889,0.337023,0.0551227,1.46078,0.354213,-0.21694,
1.95,1.56341,0.108719,-0.200969,1.66532,-0.0802304,0.320689,1.66901,0.277058,0.304687,1.64894,0.33712,0.0550028,1.46021,0.354076,-0.217086,
