Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
1.26,1.24204,-2.01462,-0.301648,0.677334,0.275545,-1.02384,1.01796,0.354701,0.551396,0.148879,0,0,
1.29,1.23299,-1.9943,-0.293197,0.646472,0.281714,-1.02873,1.03445,0.359167,0.524528,0.136627,0,0,
1.32,1.2242,-1.97491,-0.284594,0.615531,0.286783,-1.03136,1.05013,0.363263,0.498078,0.124215,0,0,
1.35,1.21566,-1.95644,-0.275866,0.584563,0.290916,-1.0323,1.06503,0.366985,0.472068,0.111686,0,0,
1.38,1.20738,-1.9389,-0.267036,0.553591,0.29434,-1.03238,1.07915,0.370328,0.446502,0.0990722,0,0,
1.41,1.19937,-1.9223,-0.258116,0.522611,0.29733,-1.03269,1.0925,0.373291,0.421356,0.0863866,0,0,
1.44,1.19163,-1.90662,-0.249112,0.491582,0.300136,-1.0343,1.10511,0.375873,0.396582,0.0736262,0,0,
1.47,1.18416,-1.89187,-0.240027,0.460456,0.30284,-1.03753,1.11698,0.37807,0.372128,0.0607804,0,0,
1.5,1.17696,-1.87806,-0.23087,0.42922,0.305232,-1.04119,1.12812,0.379881,0.347963,0.0478546,0,0,
1.53,1.17003,-1.86518,-0.221662,0.397938,0.306913,-1.04275,1.13853,0.381304,0.324107,0.0348937,0,0,
1.56,1.16338,-1.85324,-0.212437,0.366748,0.307521,-1.03965,1.14824,0.382337,0.300628,0.0219848,0,0,
1.59,1.15701,-1.84224,-0.203231,0.335839,0.306839,-1.0303,1.15724,0.382983,0.277619,0.00924174,0,0,
1.62,1.15091,-1.83216,-0.194087,0.305411,0.304822,-1.01426,1.16555,0.383247,0.255181,-0.00321426,0,0,
1.65,1.14509,-1.823,-0.185039,0.275653,0.301605,-0.991961,1.1732,0.383138,0.233403,-0.0152679,0,0,
1.68,1.13954,-1.81473,-0.173873,0.242193,0.37219,-1.11534,1.18019,0.382667,0.208835,-0.0274945,0,0,
1.71,1.13432,-1.80747,-0.163081,0.210185,0.359739,-1.06692,1.18645,0.38183,0.185446,-0.039011,0,0,
1.74,1.12943,-1.80116,-0.138931,0.179074,0.804999,-1.03704,1.192,0.380649,0.157642,-0.0338475,0,0,
1.77,1.12526,-1.79579,-0.114643,0.147804,0.809595,-1.04232,1.19673,0.379625,0.129856,-0.0283414,0,0,
1.8,1.12182,-1.79135,-0.102168,0.113724,0.415844,-1.13601,1.20062,0.37877,0.105042,-0.0388431,0,0,
1.83,1.11876,-1.78794,-0.0819913,0.0902371,0.672545,-0.782886,1.20377,0.3776,0.0835797,-0.03217,0,0,
1.86,1.1163,-1.78524,-0.0659503,0.0715921,0.5347,-0.621499,1.20628,0.376632,0.0665733,-0.0267615,0,0,
1.89,1.11432,-1.78309,-0.0615038,0.0590798,0.148215,-0.417077,1.20827,0.375827,0.0575478,-0.0307415,0,0,
1.92,1.11247,-1.78132,-0.0575613,0.0489528,0.131418,-0.337566,1.21,0.374903,0.0501133,-0.033548,0,0,
1.95,1.11075,-1.77985,-0.0540424,0.0408346,0.117296,-0.270608,1.2115,0.373895,0.0440154,-0.0353645,0,0,
1.98,1.10912,-1.77862,-0.0463275,0.0323462,0.257164,-0.282947,1.21282,0.372833,0.0361418,-0.0323451,0,0,
2.01,1.10773,-1.77765,-0.0444242,0.0285818,0.0634435,-0.125481,1.21391,0.371862,0.0332019,-0.0328666,0,0,
2.04,1.1064,-1.77679,-0.0426833,0.0255178,0.0580318,-0.102131,1.2149,0.370875,0.030733,-0.0330604,0,0,
2.07,1.10512,-1.77603,-0.0410842,0.0230346,0.0533006,-0.082774,1.21582,0.369883,0.0286577,-0.0329916,0,0,
2.1,1.10389,-1.77534,-0.0396085,0.0210233,0.0491922,-0.0670452,1.21668,0.368892,0.0269055,-0.0327189,0,0,
2.13,1.1027,-1.77471,-0.0382388,0.019388,0.0456569,-0.0545104,1.21749,0.36791,0.0254143,-0.0322931,0,0,
2.16,1.10155,-1.77413,-0.0369597,0.0180477,0.0426342,-0.0446745,1.21825,0.366941,0.0241311,-0.0317559,0,0,
2.19,1.10044,-1.77358,-0.0357581,0.0169367,0.0400535,-0.0370356,1.21897,0.365988,0.0230125,-0.0311405,0,0,
2.22,1.09937,-1.77308,-0.0346229,0.0160026,0.0378417,-0.0311354,1.21966,0.365053,0.0220239,-0.0304724,0,0,
2.25,1.09833,-1.7726,-0.033545,0.0152051,0.0359308,-0.0265845,1.22032,0.364138,0.0211383,-0.0297707,0,0,
2.28,1.09733,-1.77214,-0.0325171,0.014513,0.0342617,-0.0230677,1.22096,0.363245,0.0203347,-0.0290498,0,0,
