Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.14,1.56965,0.0584415,-0.206186,1.65449,-0.118982,0.324905,1.68067,0.23675,0.306838,1.67136,0.308313,0.0678532,1.47303,0.406811,-0.214617,
1.17,1.5709,0.059053,-0.206338,1.65613,-0.118703,0.3245,1.68286,0.236922,0.306716,1.67344,0.308376,0.0674111,1.47328,0.405873,-0.214932,
1.2,1.5721,0.0594761,-0.206456,1.65702,-0.118402,0.324649,1.6841,0.237074,0.306462,1.67477,0.308298,0.0670385,1.4729,0.40551,-0.215414,
1.23,1.57316,0.0597663,-0.206515,1.65815,-0.118286,0.324636,1.68523,0.237175,0.306411,1.67574,0.308313,0.0666335,1.47389,0.40514,-0.214143,
1.26,1.57418,0.0600546,-0.206787,1.65884,-0.117882,0.324647,1.68612,0.237391,0.305797,1.67636,0.308126,0.0662778,1.47486,0.40159,-0.216169,
1.29,1.57497,0.0602676,-0.207004,1.65951,-0.117779,0.32452,1.68677,0.237493,0.305569,1.67681,0.308103,0.0659011,1.47625,0.400422,-0.216415,
1.32,1.57561,0.0602708,-0.207039,1.6601,-0.117432,0.324467,1.68758,0.237893,0.305227,1.67741,0.308046,0.0653158,1.47836,0.398123,-0.218569,
1.35,1.57634,0.0604651,-0.207236,1.66044,-0.117122,0.324331,1.68819,0.238103,0.30488,1.67791,0.307937,0.064751,1.47783,0.397703,-0.21984,
1.38,1.57763,0.0606255,-0.207428,1.6618,-0.116736,0.324213,1.68948,0.23868,0.304095,1.67886,0.307957,0.0636333,1.48083,0.394599,-0.221577,
1.41,1.57801,0.0605585,-0.207476,1.66219,-0.116369,0.324172,1.68987,0.238868,0.303951,1.67922,0.308019,0.0627483,1.48134,0.39447,-0.22183,
1.44,1.57848,0.060563,-0.207445,1.66308,-0.115933,0.324295,1.6906,0.239237,0.303936,1.67997,0.308253,0.0620471,1.48396,0.395166,-0.224575,
1.47,1.57957,0.0609082,-0.207503,1.66394,-0.115641,0.324226,1.69138,0.239601,0.303921,1.68094,0.308613,0.0615353,1.48416,0.395495,-0.225359,
1.5,1.58074,0.0609803,-0.207726,1.66549,-0.115233,0.32412,1.69176,0.239821,0.303675,1.68222,0.309056,0.0608063,1.4856,0.395779,-0.22478,
1.53,1.58112,0.0609606,-0.207744,1.666,-0.11508,0.324058,1.69229,0.240152,0.303692,1.68283,0.309244,0.0604793,1.48588,0.396411,-0.226673,
1.56,1.58165,0.0610095,-0.207739,1.66683,-0.115049,0.323954,1.6927,0.240356,0.303607,1.68349,0.309497,0.0603788,1.48745,0.396497,-0.225665,
1.59,1.58199,0.0611297,-0.207817,1.66714,-0.114887,0.323854,1.69306,0.240567,0.30372,1.68381,0.309738,0.0608831,1.48649,0.3969,-0.225924,
1.62,1.58336,0.0615286,-0.207931,1.66821,-0.114492,0.323756,1.69389,0.241077,0.303667,1.68456,0.310581,0.0616748,1.48716,0.398023,-0.22496,
1.65,1.58381,0.0616605,-0.20798,1.66859,-0.114346,0.323734,1.69427,0.241436,0.303499,1.68487,0.310689,0.0615643,1.48627,0.398197,-0.226191,
1.68,1.58429,0.061803,-0.208089,1.66889,-0.114269,0.323675,1.69439,0.241472,0.303451,1.68527,0.31075,0.0615338,1.48539,0.398277,-0.226173,
1.71,1.58451,0.0618608,-0.208128,1.66916,-0.114197,0.323585,1.6945,0.241542,0.303403,1.68536,0.310767,0.0614893,1.48547,0.398304,-0.224927,
