Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
0,1.5708,-3.14159,-3.94522e-06,1.93466e-07,-0.000131507,6.44887e-06,0,0.128,6.86846e-07,0,0,0,
0.03,1.5708,-3.14159,-7.89791e-06,-9.4067e-08,-0.000131756,-9.58444e-06,0,0.128,9.22509e-07,-0,0,0,
0.06,1.5708,-3.14159,-1.1895e-05,-8.6448e-07,-0.000133236,-2.56804e-05,0,0.128,7.09948e-07,-0,0,0,
0.09,1.5708,-3.14159,-1.57979e-05,-2.11894e-06,-0.000130095,-4.18152e-05,0,0.128,3.03258e-08,-0,0,0,
0.12,1.5708,-3.14159,-1.96079e-05,-3.85389e-06,-0.000127001,-5.78319e-05,0,0.128,-1.11285e-06,-0,0,0,
0.15,1.57079,-3.14159,-2.33259e-05,-6.06659e-06,-0.000123933,-7.37567e-05,0,0.128,-2.71689e-06,-0,0,0,
0.18,1.57079,-3.14159,-2.69527e-05,-8.7529e-06,-0.000120893,-8.95436e-05,0,0.128,-4.77779e-06,-0,0,0,
0.21,1.57079,-3.14159,-3.04902e-05,-1.19036e-05,-0.000117918,-0.000105023,0,0.128,-7.28663e-06,-0,0,0,
0.24,1.57079,-3.14159,-3.39392e-05,-1.55125e-05,-0.000114967,-0.000120297,0,0.128,-1.02375e-05,-0,0,0,
0.27,1.57079,-3.14159,-3.7301e-05,-1.957e-05,-0.000112061,-0.00013525,0,0.128,-1.36213e-05,-0,0,0,
0.3,1.57079,-3.14159,-4.0577e-05,-2.40658e-05,-0.000109198,-0.000149859,0,0.128,-1.7428e-05,-0,0,0,
0.33,1.57079,-3.1416,-4.37682e-05,-2.89888e-05,-0.000106373,-0.000164102,0,0.128,-2.16472e-05,-0,0,0,
0.36,1.57079,-3.1416,-4.68761e-05,-3.43258e-05,-0.000103599,-0.000177897,0,0.128,-2.62661e-05,-0,0,0,
0.39,1.57079,-3.1416,-4.99012e-05,-4.00666e-05,-0.000100836,-0.00019136,0,0.128,-3.12752e-05,-0,0,0,
0.42,1.57078,-3.1416,-5.28466e-05,-4.619e-05,-9.81789e-05,-0.000204116,0,0.128,-3.66543e-05,-0,0,0,
0.45,1.57078,-3.1416,-5.57142e-05,-5.26787e-05,-9.55872e-05,-0.000216289,0,0.128,-4.23865e-05,-0,0,0,
0.48,1.57078,-3.1416,-5.8505e-05,-5.95181e-05,-9.30255e-05,-0.000227979,0,0.128,-4.84583e-05,-0,0,0,
0.51,1.57078,-3.1416,-6.12216e-05,-6.66868e-05,-9.05539e-05,-0.000238958,0,0.128,-5.48492e-05,-0,0,0,
0.54,1.57078,-3.14161,-6.3866e-05,-7.41657e-05,-8.81484e-05,-0.000249296,0,0.128,-6.15409e-05,-0,0,0,
0.57,1.57078,-3.14161,-6.64415e-05,-8.19315e-05,-8.58474e-05,-0.00025886,0,0.128,-6.85111e-05,-0,0,0,
0.6,1.57077,-3.14161,-6.89507e-05,-8.99622e-05,-8.36412e-05,-0.00026769,0,0.128,-7.57388e-05,-0,0,0,
0.63,1.57077,-3.14161,-7.1398e-05,-9.82321e-05,-8.15753e-05,-0.000275664,0,0.128,-8.31993e-05,-0,0,0,
0.66,1.57077,-3.14162,-7.37878e-05,-0.000106716,-7.96617e-05,-0.000282797,0,0.128,-9.08682e-05,-0,0,0,
0.69,1.57077,-3.14162,-7.61266e-05,-0.000115386,-7.79591e-05,-0.000289001,0,0.128,-9.87187e-05,-0,0,0,
0.72,1.57077,-3.14162,-7.84236e-05,-0.000124211,-7.65666e-05,-0.000294148,0,0.128,-0.00010672,-0,0,0,
0.75,1.57076,-3.14163,-8.06895e-05,-0.000133162,-7.55311e-05,-0.000298374,0,0.128,-0.000114844,-0,0,0,
0.78,1.57076,-3.14163,-8.29397e-05,-0.000142211,-7.50076e-05,-0.000301658,0,0.128,-0.000123062,-0,0,0,
0.81,1.57076,-3.14163,-8.51934e-05,-0.00015134,-7.51213e-05,-0.000304271,0,0.128,-0.000131354,-0,0,0,
0.84,1.57076,-3.14164,-8.74737e-05,-0.00016054,-7.60124e-05,-0.000306683,0,0.128,-0.000139711,-0,0,0,
0.87,1.57075,-3.14164,-8.98129e-05,-0.00016982,-7.79713e-05,-0.000309331,0,0.128,-0.000148135,-0,0,0,
0.9,1.57075,-3.14165,-9.22524e-05,-0.000179213,-8.13166e-05,-0.000313109,0,0.128,-0.000156652,-0,0,0,
0.93,1.57075,-3.14165,-9.48488e-05,-0.000188793,-8.65467e-05,-0.000319309,0,0.128,-0.000165324,-0,0,0,
0.96,1.57074,-3.14166,-9.76687e-05,-0.000198698,-9.39978e-05,-0.000330173,0,0.128,-0.000174274,-0,0,0,
0.99,1.57074,-3.14167,-0.000100746,-0.000209145,-0.000102591,-0.000348254,0,0.128,-0.000183701,-0,0,0,
1.02,1.57074,-3.14167,-0.000104021,-0.000220311,-0.000109154,-0.000372184,0,0.128,-0.000193778,-0,0,0,
1.05,1.57074,-3.14168,-0.000107372,-0.000232174,-0.000111684,-0.000395429,0,0.128,-0.0002045,-0,0,0,
1.08,1.57073,-3.14169,-0.000110707,-0.000244571,-0.000111185,-0.000413255,0,0.128,-0.000215727,-0,0,0,
1.11,1.57073,-3.14169,-0.000113986,-0.000257325,-0.000109285,-0.000425137,0,0.128,-0.000227296,-0,0,0,
1.14,1.57073,-3.1417,-0.000117193,-0.000270289,-0.000106917,-0.000432128,0,0.128,-0.000239071,-0,0,0,
1.17,1.57072,-3.14171,-0.000120328,-0.000283348,-0.000104489,-0.000435273,0,0.128,-0.000250945,-0,0,0,
1.2,1.57072,-3.14172,-0.000123392,-0.000296409,-0.000102148,-0.000435379,0,0.128,-0.00026283,-0,0,0,
1.23,1.57071,-3.14173,-0.000126391,-0.000309401,-9.99516e-05,-0.000433066,0,0.128,-0.000274659,-0,0,0,
