Time,Angle1 [deg],Angle2 [deg],Angle1 vel [deg/s],Angle2 vel [deg/s],Angle1 acc [deg/s^2],Angle2 acc [deg/s^2],Endpoint pos x [m],Endpoint pos y [m],Endpoint vel x [m/s],Endpoint vel y [m/s],Delivery pos x [m],Delivery pos y [m]
1.11,1.72166,-3.22592,0.20863,-0.11585,-0.00226488,0.0690373,-0.0980147,0.117949,-0.133266,-0.0276888,0,0,
1.14,1.72792,-3.2294,0.208744,-0.109664,0.00379583,0.206218,-0.10201,0.117102,-0.12728,-0.0284335,0,0,
1.17,1.73418,-3.23269,0.261259,-0.204006,1.75051,-3.14476,-0.105825,0.116232,-0.221632,-0.0414982,0,0,
1.2,1.74202,-3.23881,0.261157,-0.193174,-0.00339544,0.361068,-0.112469,0.114956,-0.211108,-0.042798,0,0,
1.23,1.74985,-3.2446,0.31855,-0.287504,1.91309,-3.14433,-0.118796,0.113642,-0.305673,-0.0583744,0,0,
1.26,1.75941,-3.25323,0.317877,-0.27155,-0.0224107,0.531782,-0.127958,0.111843,-0.290054,-0.0603045,0,0,
1.29,1.76894,-3.26137,0.317197,-0.25683,-0.022678,0.490682,-0.13665,0.109987,-0.275567,-0.0622451,0,0,
1.32,1.77846,-3.26908,0.316498,-0.242579,-0.0232909,0.475043,-0.144908,0.108074,-0.261497,-0.064126,0,0,
1.35,1.78795,-3.27636,0.315689,-0.227194,-0.0269811,0.512811,-0.152743,0.106106,-0.246335,-0.0657959,0,0,
1.38,1.79743,-3.28317,0.31481,-0.211728,-0.0292963,0.515542,-0.160123,0.104088,-0.231073,-0.0673149,0,0,
1.41,1.80687,-3.28952,0.313897,-0.1968,-0.0304388,0.497589,-0.167044,0.102027,-0.2163,-0.0687193,0,0,
1.44,1.81629,-3.29543,0.312957,-0.182397,-0.0313194,0.480108,-0.173523,0.0999251,-0.202006,-0.0699979,0,0,
1.47,1.82568,-3.3009,0.311984,-0.168224,-0.0324283,0.472445,-0.179572,0.0977867,-0.187917,-0.0711136,0,0,
1.5,1.83504,-3.30595,0.310972,-0.153879,-0.0337505,0.478161,-0.185198,0.0956167,-0.173659,-0.0720155,0,0,
1.53,1.84436,-3.31056,0.309925,-0.139422,-0.0348838,0.481895,-0.190397,0.0934218,-0.159294,-0.0726922,0,0,
1.56,1.85366,-3.31475,0.308855,-0.124989,-0.0356658,0.481119,-0.195164,0.0912089,-0.144953,-0.0731419,0,0,
1.59,1.86293,-3.31849,0.307773,-0.110721,-0.03607,0.475585,-0.199502,0.0889849,-0.130775,-0.0733676,0,0,
1.62,1.87216,-3.32182,0.306687,-0.0967136,-0.0362137,0.466915,-0.203414,0.0867566,-0.116852,-0.0733704,0,0,
1.65,1.88136,-3.32472,0.305595,-0.082939,-0.0364078,0.459155,-0.206908,0.0845309,-0.103163,-0.0731386,0,0,
1.68,1.89053,-3.32721,0.304491,-0.0693218,-0.0368049,0.453907,-0.209992,0.0823148,-0.0896413,-0.0726539,0,0,
1.71,1.89966,-3.32929,0.303375,-0.0558988,-0.0371841,0.447434,-0.21267,0.0801161,-0.0763273,-0.0719121,0,0,
1.74,1.90877,-3.33096,0.302255,-0.0428081,-0.0373498,0.436356,-0.214949,0.0779426,-0.0633546,-0.0709269,0,0,
1.77,1.91783,-3.33225,0.301138,-0.0302495,-0.0372056,0.418618,-0.216839,0.0758015,-0.0509143,-0.0697272,0,0,
1.8,1.92687,-3.33315,0.300037,-0.0184595,-0.0367116,0.393001,-0.218357,0.0736994,-0.0392302,-0.0683568,0,0,
1.83,1.93587,-3.33371,0.299049,-0.00875777,-0.0329293,0.323391,-0.219524,0.0716413,-0.0295337,-0.0670652,0,0,
1.86,1.94484,-3.33397,0.298156,-0.000771895,-0.0297729,0.266196,-0.220401,0.0696243,-0.0214725,-0.0658449,0,0,
1.89,1.95378,-3.33399,0.297341,0.00580451,-0.02715,0.219213,-0.221036,0.067646,-0.0147565,-0.0646896,0,0,
1.92,1.9627,-3.33382,0.296592,0.0112233,-0.0249821,0.180625,-0.22147,0.0657041,-0.00914707,-0.0635937,0,0,
1.95,1.9716,-3.33348,0.295896,0.0156913,-0.023204,0.148934,-0.221736,0.0637965,-0.00444803,-0.0625518,0,0,
1.98,1.98048,-3.33301,0.295243,0.0193782,-0.0217606,0.122898,-0.221862,0.0619214,-0.000498505,-0.0615589,0,0,
2.01,1.98934,-3.33243,0.294625,0.0224228,-0.0206054,0.101486,-0.221869,0.0600771,0.00283316,-0.0606102,0,0,
2.04,1.99818,-3.33176,0.294034,0.0249382,-0.0196988,0.0838453,-0.221777,0.0582622,0.00565437,-0.0597013,0,0,
2.07,2.007,-3.33101,0.293464,0.0270161,-0.0190046,0.0692658,-0.2216,0.0564752,0.00805237,-0.058828,0,0,
2.1,2.0158,-3.3302,0.292909,0.0287309,-0.0184875,0.0571584,-0.221352,0.0547149,0.0100977,-0.0579871,0,0,
2.13,2.02459,-3.32934,0.292366,0.0301423,-0.0181128,0.0470471,-0.221042,0.0529805,0.0118473,-0.0571758,0,0,
2.16,2.03336,-3.32843,0.29183,0.0312988,-0.0178448,0.0385516,-0.220681,0.0512707,0.0133473,-0.0563917,0,0,
2.19,2.04211,-3.32749,0.291301,0.03224,-0.017647,0.0313729,-0.220274,0.0495849,0.0146355,-0.0556333,0,0,
2.22,2.05085,-3.32653,0.290776,0.0329988,-0.0174868,0.0252937,-0.219829,0.047922,0.0157433,-0.054899,0,0,
2.25,2.05958,-3.32554,0.290256,0.0336034,-0.0173368,0.0201528,-0.219351,0.0462815,0.0166975,-0.0541875,0,0,
2.28,2.06828,-3.32453,0.289741,0.0340785,-0.0171792,0.0158354,-0.218844,0.0446624,0.0175215,-0.0534972,0,0,
2.31,2.07698,-3.32351,0.289231,0.0344458,-0.0170047,0.012245,-0.218313,0.0430642,0.0182362,-0.0528265,0,0,
2.34,2.08565,-3.32247,0.288726,0.0347247,-0.0168116,0.00929634,-0.217761,0.0414863,0.0188595,-0.0521734,0,0,
2.37,2.09431,-3.32143,0.288228,0.0349319,-0.0166027,0.00690586,-0.21719,0.039928,0.0194074,-0.051536,0,0,
2.4,2.10296,-3.32038,0.287737,0.0350816,-0.0163822,0.00498987,-0.216602,0.038389,0.0198932,-0.0509124,0,0,
2.43,2.11159,-3.31933,0.287252,0.0351857,-0.0161543,0.00347019,-0.216001,0.0368687,0.020328,-0.0503007,0,0,
2.46,2.12021,-3.31828,0.286775,0.035254,-0.0159228,0.00227644,-0.215386,0.0353668,0.020721,-0.0496994,0,0,
2.49,2.12881,-3.31722,0.286304,0.0352943,-0.0156898,0.00134437,-0.21476,0.033883,0.0210797,-0.049107,0,0,
2.52,2.1374,-3.31616,0.28584,0.035313,-0.0154572,0.000622536,-0.214123,0.0324169,0.0214098,-0.0485223,0,0,
2.55,2.14598,-3.3151,0.285383,0.035315,-0.0152258,6.58607e-05,-0.213476,0.0309685,0.021716,-0.0479442,0,0,
2.58,2.15454,-3.31404,0.284934,0.0353041,-0.0149961,-0.000361545,-0.21282,0.0295373,0.0220021,-0.0473721,0,0,
2.61,2.16309,-3.31298,0.28449,0.0352835,-0.0147685,-0.000687207,-0.212156,0.0281234,0.0222709,-0.0468051,0,0,
2.64,2.17162,-3.31192,0.284054,0.0352554,-0.0145426,-0.000937105,-0.211484,0.0267264,0.0225246,-0.0462429,0,0,
2.67,2.18014,-3.31087,0.283625,0.0352216,-0.0143189,-0.00112647,-0.210805,0.0253464,0.0227649,-0.045685,0,0,
2.7,2.18865,-3.30981,0.283202,0.0351834,-0.0140968,-0.00127316,-0.210118,0.023983,0.0229931,-0.0451311,0,0,
2.73,2.19715,-3.30875,0.282785,0.0351423,-0.013878,-0.00136922,-0.209424,0.0226363,0.0232106,-0.0445808,0,0,
2.76,2.20563,-3.3077,0.282376,0.035099,-0.0136609,-0.00144388,-0.208724,0.0213061,0.0234182,-0.0440339,0,0,
2.79,2.2141,-3.30665,0.281972,0.0350541,-0.0134461,-0.00149618,-0.208018,0.0199922,0.0236165,-0.0434904,0,0,
2.82,2.22256,-3.30559,0.281575,0.0350082,-0.0132335,-0.00153023,-0.207307,0.0186947,0.0238062,-0.0429501,0,0,
2.85,2.23101,-3.30454,0.281184,0.0349616,-0.0130229,-0.00155304,-0.206589,0.0174133,0.0239875,-0.0424129,0,0,
2.88,2.23945,-3.3035,0.2808,0.0349146,-0.0128142,-0.00156715,-0.205867,0.0161481,0.0241608,-0.0418787,0,0,
2.91,2.24787,-3.30245,0.280422,0.0348674,-0.0126075,-0.00157348,-0.205139,0.0148989,0.0243265,-0.0413476,0,0,
2.94,2.25628,-3.3014,0.28005,0.0348205,-0.0124036,-0.00156445,-0.204406,0.0136656,0.024485,-0.0408194,0,0,
2.97,2.26468,-3.30036,0.279684,0.0347732,-0.0121997,-0.00157629,-0.203669,0.0124481,0.0246359,-0.0402943,0,0,
3,2.27307,-3.29931,0.279324,0.0347259,-0.0119982,-0.00157676,-0.202927,0.0112463,0.0247795,-0.0397723,0,0,
3.03,2.28145,-3.29827,0.27897,0.034679,-0.0117994,-0.00156264,-0.202181,0.0100602,0.0249163,-0.0392533,0,0,
