Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,1.53173,0.0710567,-0.195198,1.61291,-0.0967199,0.336828,1.64344,0.254074,0.311715,1.62918,0.327287,0.0723792,1.44027,0.439715,-0.218026,
0.09,1.5317,0.0711297,-0.195241,1.61318,-0.0969383,0.336732,1.64347,0.253989,0.31169,1.62918,0.327111,0.0724965,1.44289,0.4378,-0.213362,
0.12,1.53169,0.0711834,-0.195286,1.6134,-0.0971155,0.336653,1.64351,0.253852,0.311647,1.62922,0.327083,0.0725411,1.44222,0.439242,-0.216062,
0.15,1.53175,0.0712724,-0.195369,1.61379,-0.0975437,0.336491,1.64358,0.253768,0.311622,1.62928,0.32698,0.0726062,1.44444,0.439235,-0.217951,
0.18,1.53177,0.0713241,-0.195421,1.61393,-0.0976186,0.336416,1.64366,0.253671,0.311585,1.62928,0.326963,0.0726009,1.44458,0.438965,-0.215214,
0.21,1.53186,0.0713936,-0.195484,1.61417,-0.0977967,0.336359,1.64379,0.253598,0.311559,1.62933,0.32684,0.072622,1.44537,0.440019,-0.211208,
0.24,1.53195,0.0714509,-0.195533,1.61469,-0.0980512,0.336283,1.64395,0.253419,0.311475,1.62938,0.326756,0.0725578,1.44479,0.439385,-0.206194,
0.27,1.53205,0.0715395,-0.195616,1.61513,-0.098303,0.33617,1.64412,0.253154,0.311426,1.62948,0.326632,0.0725728,1.44334,0.439118,-0.205165,
0.3,1.53248,0.0716703,-0.195853,1.61586,-0.0987691,0.335878,1.6445,0.252271,0.311231,1.62983,0.326137,0.0727866,1.44464,0.44101,-0.20173,
0.33,1.53269,0.071763,-0.195928,1.61629,-0.0991143,0.335828,1.64471,0.252009,0.311201,1.62999,0.326004,0.0728325,1.44348,0.442706,-0.202231,
0.36,1.53306,0.071852,-0.195993,1.6168,-0.0993273,0.335648,1.64551,0.251897,0.311378,1.63023,0.325835,0.0728317,1.44633,0.444545,-0.200996,
0.39,1.53345,0.0719043,-0.196096,1.61757,-0.0995045,0.335614,1.6458,0.25171,0.311313,1.63048,0.325605,0.0729184,1.44721,0.444548,-0.19949,
