Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
2.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2.88,1.65518,0.307616,0.0647721,1.65051,0.0974684,0.596694,1.57046,0.441944,0.579815,1.55289,0.548814,0.328688,1.44482,0.638428,0.0644465,
2.91,1.6479,0.27792,0.0700656,1.65839,0.0791464,0.627029,1.56807,0.418301,0.597835,1.56658,0.527103,0.34562,1.46324,0.625124,0.0693432,
2.94,1.64237,0.244417,0.0633419,1.66618,0.0523017,0.633161,1.56568,0.392326,0.603591,1.57014,0.510066,0.351334,1.47385,0.620381,0.0754843,
2.97,1.63603,0.212843,0.0780733,1.67042,0.0311448,0.633719,1.5613,0.37741,0.603255,1.56789,0.497176,0.352719,1.47896,0.613336,0.0840705,
