Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,1.41778,0.0323767,-0.15638,1.51245,-0.162069,0.375206,1.49912,0.220346,0.364075,1.44677,0.260179,0.100177,1.24967,0.246187,-0.147789,
0.03,1.41631,0.0331229,-0.156499,1.51058,-0.162318,0.375202,1.49814,0.219633,0.364353,1.44658,0.259977,0.100154,1.25293,0.247374,-0.148667,
0.06,1.4133,0.0349637,-0.156754,1.50609,-0.161867,0.37488,1.49715,0.219194,0.364768,1.44637,0.259949,0.0999254,1.25907,0.249695,-0.14959,
0.09,1.41087,0.0365176,-0.15669,1.50254,-0.160961,0.375147,1.49623,0.219113,0.365141,1.4463,0.260145,0.0998891,1.26316,0.254064,-0.151042,
0.12,1.40885,0.0378353,-0.156642,1.5002,-0.160249,0.37548,1.49523,0.219642,0.365335,1.44612,0.260917,0.0998022,1.26558,0.258285,-0.15258,
0.15,1.40806,0.0383615,-0.156654,1.49912,-0.159959,0.37564,1.49442,0.219803,0.365372,1.44613,0.261696,0.0999179,1.26576,0.261459,-0.153052,
0.18,1.4072,0.0389772,-0.156629,1.49807,-0.15964,0.375777,1.4935,0.22019,0.365515,1.44601,0.262491,0.100109,1.26644,0.263826,-0.152489,
0.21,1.40677,0.0393057,-0.156567,1.49744,-0.159412,0.376188,1.49282,0.220492,0.36559,1.44603,0.263219,0.100339,1.26689,0.26597,-0.153617,
0.24,1.40621,0.0395923,-0.156487,1.4965,-0.158992,0.376541,1.49154,0.220871,0.365683,1.44567,0.263998,0.100415,1.26531,0.267405,-0.154226,
0.27,1.40558,0.0398186,-0.156364,1.49595,-0.158645,0.376946,1.48997,0.221559,0.365728,1.44523,0.264745,0.100417,1.26477,0.267917,-0.154522,
0.3,1.40447,0.0400934,-0.15617,1.495,-0.158061,0.377357,1.48738,0.222665,0.365867,1.44372,0.266156,0.10076,1.26212,0.266851,-0.15402,
0.33,1.40391,0.0402103,-0.156083,1.49473,-0.15794,0.377403,1.48643,0.222903,0.365896,1.4424,0.267117,0.10086,1.26125,0.266511,-0.153064,
0.36,1.40335,0.0402289,-0.155886,1.4945,-0.157828,0.377481,1.48541,0.223335,0.36596,1.44098,0.267857,0.100864,1.2581,0.266268,-0.151801,
0.39,1.40269,0.0400795,-0.155713,1.4941,-0.157618,0.377581,1.48194,0.224377,0.366544,1.43739,0.269137,0.101181,1.25074,0.26487,-0.149113,
0.42,1.40218,0.0398074,-0.155521,1.49344,-0.156962,0.377858,1.48111,0.224942,0.366592,1.43297,0.27047,0.101558,1.24127,0.264718,-0.146846,
0.45,1.40218,0.0398074,-0.155521,1.49344,-0.156962,0.377858,1.48111,0.224942,0.366592,1.43297,0.27047,0.101558,1.24127,0.264718,-0.146846,
0.48,1.40184,0.0395937,-0.155337,1.49334,-0.156853,0.377907,1.47866,0.226656,0.367451,1.4312,0.270777,0.101839,1.2355,0.264607,-0.146334,
0.51,1.40161,0.0394128,-0.155276,1.49323,-0.15672,0.377947,1.47678,0.227324,0.367675,1.4293,0.271141,0.102419,1.23286,0.262591,-0.145455,
0.54,1.4015,0.0393429,-0.15524,1.49314,-0.156603,0.377975,1.47534,0.228388,0.368134,1.42736,0.271336,0.103132,1.22853,0.262981,-0.145127,
0.57,1.40126,0.0391783,-0.155185,1.49309,-0.156515,0.377991,1.47414,0.229178,0.368381,1.42554,0.271437,0.103128,1.22646,0.261973,-0.144971,
0.6,1.40106,0.0390252,-0.155094,1.49275,-0.155252,0.378465,1.47326,0.229807,0.368673,1.42434,0.271425,0.103222,1.22523,0.261359,-0.142466,
0.63,1.40083,0.0389334,-0.155036,1.49271,-0.155191,0.378465,1.47214,0.23043,0.368904,1.42255,0.271416,0.103309,1.22254,0.261121,-0.142378,
0.66,1.40066,0.0388748,-0.154937,1.49269,-0.155151,0.378481,1.47169,0.230847,0.369186,1.42134,0.271489,0.103605,1.22173,0.260424,-0.142165,
0.69,1.40049,0.0387988,-0.154884,1.49266,-0.15509,0.378485,1.47103,0.231183,0.369363,1.42065,0.271664,0.10397,1.22081,0.259483,-0.142546,
