Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.09,1.58116,0.0827534,-0.209793,1.68746,-0.0943714,0.317259,1.68623,0.270005,0.295308,1.6414,0.318987,0.0415192,1.4527,0.36182,-0.241874,
0.12,1.58116,0.0827414,-0.209836,1.68743,-0.0942013,0.317321,1.68634,0.269844,0.295255,1.64143,0.318962,0.0415401,1.44716,0.359264,-0.235999,
0.15,1.58111,0.0827287,-0.209964,1.68829,-0.0940401,0.31673,1.68647,0.2696,0.295116,1.64133,0.31891,0.0415463,1.44127,0.358501,-0.231171,
0.18,1.58108,0.0827289,-0.210018,1.68824,-0.0938665,0.316839,1.68664,0.269488,0.295004,1.64121,0.318846,0.041679,1.43816,0.359957,-0.23042,
0.21,1.58105,0.0827526,-0.210045,1.68823,-0.0936914,0.31692,1.68661,0.271503,0.294973,1.64096,0.318848,0.0419552,1.43532,0.360761,-0.228131,
0.24,1.58092,0.0827815,-0.21017,1.68918,-0.0928683,0.316356,1.6868,0.27283,0.294712,1.64018,0.319101,0.042256,1.43518,0.363905,-0.228651,
0.27,1.58086,0.0828083,-0.210171,1.68915,-0.0927954,0.31642,1.68682,0.273882,0.294767,1.63982,0.31936,0.0422101,1.43617,0.364714,-0.229183,
0.3,1.58075,0.0827985,-0.210224,1.68914,-0.0927101,0.316512,1.68684,0.273489,0.294651,1.63963,0.319553,0.0420828,1.43891,0.366905,-0.230639,
0.33,1.58071,0.0828116,-0.210219,1.6891,-0.0925243,0.316593,1.68693,0.274504,0.294748,1.63929,0.319877,0.0417688,1.44005,0.368626,-0.230263,
0.36,1.58058,0.0828543,-0.210337,1.68992,-0.0920836,0.315798,1.68713,0.274057,0.294844,1.63911,0.320208,0.0415113,1.44211,0.371908,-0.231405,
0.39,1.58036,0.0829765,-0.210436,1.68978,-0.0918977,0.315975,1.68724,0.274883,0.294876,1.63885,0.320968,0.0409495,1.44348,0.374872,-0.232109,
0.42,1.58032,0.0829857,-0.210447,1.68975,-0.0919112,0.316009,1.6872,0.27579,0.294972,1.6388,0.321361,0.0406127,1.44449,0.376818,-0.232433,
