Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
1.08,1.67432,0.0748393,-0.230119,1.78853,-0.100074,0.279577,1.79426,0.262302,0.257796,1.74494,0.307138,-0.00457874,1.55222,0.300877,-0.308394,
1.11,1.67426,0.0749447,-0.230102,1.78811,-0.0998814,0.279681,1.7942,0.262327,0.25784,1.74491,0.307134,-0.0045791,1.55212,0.300999,-0.308661,
1.14,1.67408,0.074987,-0.23006,1.78727,-0.0992577,0.279603,1.79414,0.262302,0.25787,1.74475,0.307177,-0.00482759,1.55142,0.302267,-0.30866,
1.17,1.67396,0.0749488,-0.229921,1.78688,-0.0989757,0.279607,1.79415,0.262301,0.257872,1.74471,0.307202,-0.00493517,1.5508,0.302473,-0.307594,
1.2,1.67384,0.0748358,-0.229732,1.78659,-0.0988268,0.279631,1.79421,0.262287,0.257906,1.74473,0.307196,-0.004926,1.55075,0.302889,-0.307245,
1.23,1.67363,0.0745012,-0.229505,1.78645,-0.0987316,0.279677,1.79432,0.262279,0.257939,1.74477,0.307168,-0.00491862,1.55039,0.3029,-0.306912,
1.26,1.67329,0.0727825,-0.228853,1.78645,-0.0986839,0.279766,1.7948,0.262091,0.257922,1.74557,0.306874,-0.00484064,1.55093,0.30309,-0.307084,
1.29,1.67318,0.0706644,-0.228676,1.78665,-0.098852,0.279719,1.79505,0.261825,0.257735,1.74622,0.306432,-0.00457773,1.5499,0.30177,-0.306516,
1.32,1.67283,0.068721,-0.228284,1.7872,-0.0994266,0.279737,1.79492,0.258335,0.260533,1.74655,0.306122,-0.00449041,1.54943,0.30074,-0.306812,
1.35,1.67255,0.0646787,-0.228158,1.78901,-0.101478,0.279643,1.79561,0.258055,0.260324,1.74694,0.304572,-0.00416639,1.54909,0.29798,-0.306812,
1.38,1.67299,0.0583308,-0.227674,1.79272,-0.104793,0.282472,1.79676,0.256519,0.260187,1.74711,0.300834,-0.00373963,1.54541,0.292212,-0.305123,
1.41,1.67355,0.055542,-0.227055,1.79403,-0.105613,0.284226,1.79744,0.255797,0.260573,1.74722,0.299369,-0.00320534,1.54499,0.289909,-0.303521,
1.44,1.67448,0.0529094,-0.226582,1.79506,-0.106106,0.285342,1.79766,0.25534,0.260873,1.74746,0.298243,-0.00268556,1.54334,0.284297,-0.301871,
1.47,1.67523,0.0509281,-0.226396,1.79619,-0.106421,0.286147,1.79791,0.255063,0.261053,1.74791,0.297888,-0.00188315,1.54253,0.282329,-0.301861,
1.5,1.67606,0.0493214,-0.226255,1.80161,-0.110072,0.283736,1.79794,0.25442,0.261561,1.74799,0.29739,-0.000263624,1.54257,0.283488,-0.30126,
1.53,1.67633,0.049171,-0.226313,1.80272,-0.110587,0.283509,1.79797,0.254347,0.261605,1.74791,0.297196,-0.000189619,1.54404,0.284419,-0.301187,
1.56,1.67652,0.0491072,-0.226395,1.80286,-0.110686,0.283315,1.79781,0.254196,0.261639,1.74754,0.297015,-0.00012781,1.54296,0.286469,-0.3022,
1.59,1.67661,0.04995,-0.226786,1.80288,-0.110582,0.282438,1.7977,0.254129,0.26168,1.74744,0.297159,6.80964e-05,1.54388,0.287649,-0.301376,
